代码,名称,密度,熔点,估计价(元/吨),估计价来源,实价(元/吨),当前采用,价差%
LL,C4 LLDPE（7042 类）,0.918,122.0,12000.0,甲方口述价（2026-09）,8000.0,实价,-33.3
LL6,C6 LLDPE（齐格勒己烯共聚）,0.918,124.0,9535.0,网查参考价：LLDPE 价格行情-Chemicalbook｜均价｜当前价格：9535.00,,估计价,
mLL,茂金属 LLDPE（C6）,0.918,118.0,9400.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
mLL8,茂金属 LLDPE（C8，Elite 类）,0.916,116.0,9900.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
LD,LDPE 新料（2426H 类）,0.922,110.0,9950.0,网查参考价：2426H价格_2426H塑料价格_2426H价格行情走势_普拉司网（塑料网）｜东莞市场 含税价｜中石化茂名,,估计价,
HD,HDPE 膜料（5000S 类）,0.95,130.0,8400.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
MD,MDPE 膜料,0.935,125.0,8700.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
R1,再生高压一级透明料,0.922,112.0,8000.0,甲方口述价（2026-09）,,估计价,
R2,再生高压二级料,0.925,112.0,5300.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
RL,再生线性一级料（工业膜回料）,0.92,122.0,5900.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
PCR,混合 PE 消费后回料（造粒）,0.93,120.0,4800.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
RHD,再生 HDPE,0.95,130.0,5600.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
SC,甲方自有边角料回粒,0.921,118.0,800.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
POE,POE（乙烯-辛烯）,0.875,60.0,16500.0,网查参考价：POE 价格行情-Chemicalbook｜上海市场 厂家报价｜| 2026-09-16 | 上海 | 上海,,估计价,
POP,POP 塑性体,0.902,90.0,13000.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
VL,VLDPE / ULDPE（密度 <0.91）,0.905,105.0,10500.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
EVA,EVA（VA 5～9%，膜级）,0.93,95.0,10500.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
EMA,EMA / EBA,0.94,90.0,12000.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
OBC,OBC 烯烃嵌段共聚物,0.877,120.0,16000.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
ION,离聚物 / EAA,0.94,95.0,18000.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
FL,CaCO₃ 填充母料（80%）,1.95,,3800.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
TFL,透明填充母料（细粒径 CaCO₃/BaSO₄）,1.6,,5200.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
TALC,滑石粉母料,1.7,,3200.0,网查参考价：滑石粉 价格行情-Chemicalbook｜湖北/四川 市场报价｜当前价格：3200.00,,估计价,
AD,功能助剂母料（PPA + 抗氧）,0.95,,12500.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
CP,相容剂（MAH-g-PE）,0.92,125.0,18000.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
NUC,成核 / 透明剂（PE 用）,1.0,,80000.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
ADR,扩链剂（ADR 类）,1.1,,60000.0,内部技术路线附录 D 假设价（2026-09 市场一般水平），仅用于排序与演示；正式成本以甲方回填实价为准,,估计价,
LLC,国产 C4 LLDPE（7042 类）,0.918,122.0,7878.0,网查参考价：7042价格_7042塑料价格_7042价格行情走势_普拉司网（塑料网）｜东莞市场 含税价｜中石化福炼 DF,,估计价,
